P=900,I=10000.0,D=30.0
Ts=0.05
Iteration,time(s),piezo_output,measured_wavelength(nm)
2,0.1,211.36006088668466,267.9340512514738
3,0.15000000000000002,115.98257549736928,267.92681991551444
4,0.2,81.34453011599923,267.91437814566007
5,0.25,82.43818634978109,267.91457650476895
6,0.30000000000000004,71.1850252428061,267.9040628557637
7,0.35000000000000003,102.49013167347908,267.9139321780335
8,0.4,83.27789384015915,267.908132425679
9,0.45,98.70884071599215,267.912718607097
10,0.5,88.72337718463751,267.90984028992267
11,0.55,95.57996106256033,267.91179421197535
12,0.6000000000000001,91.14380950767024,267.9105523745265
13,0.65,93.97653496366618,267.911339094826
14,0.7000000000000001,92.20847798951033,267.9108556552483
15,0.75,93.30860148918069,267.911158351147
16,0.8,92.6269381250391,267.9109729495284
17,0.8500000000000001,93.06048894693899,267.91109108996005
18,0.9,92.78579167945699,267.91101828415856
19,0.9500000000000001,92.94617414597545,267.91106176800815
20,1.0,92.84238944046848,267.91103533518725
21,1.05,92.89727549807112,267.911051258207
22,1.1,92.8577159624924,267.91104142276134
23,1.1500000000000001,92.87619798470722,267.91104705191964
24,1.2000000000000002,92.85997637284827,267.9110436396153
25,1.25,92.86344650970567,267.9110450471291
26,1.3,92.85768078379967,267.9110439117261
27,1.35,92.85644097670347,267.91104425385197
28,1.4000000000000001,92.8538992555242,267.9110447461455
29,1.4500000000000002,92.85207571598363,267.9110445251462
30,1.5,92.84923508656543,267.91104459295696
31,1.55,92.84571005219917,267.9110445477285
32,1.6,92.84405225193377,267.91104454231555
33,1.6500000000000001,92.84266594214577,267.9110443015379
34,1.7000000000000002,92.8392539450594,267.9110439237627
35,1.75,92.83888913213325,267.91104470924523
36,1.8,92.83530915696733,267.91104448868504
37,1.85,92.83217806350343,267.9110436372777
38,1.9000000000000001,92.83174802422485,267.91104386350554
39,1.9500000000000002,92.8298961753692,267.9110448700248
40,2.0,92.82553346360298,267.91104398289735
41,2.0500000000000003,92.82530121024996,267.9110439328489
42,2.1,92.82420573197814,267.91104404934305
43,2.15,92.82346075856672,267.91104405161593
44,2.2,92.8228332970633,267.9110443078413
45,2.25,92.82042803780017,267.91104413989837
46,2.3000000000000003,92.81782922817635,267.9110438809987
47,2.35,92.81926608396648,267.9110439184457
48,2.4000000000000004,92.81931460963328,267.911044843058
49,2.45,92.81660130565142,267.91104365859974
50,2.5,92.81745363360737,267.91104452092475
51,2.5500000000000003,92.81402940995781,267.91104344222765
52,2.6,92.81551378657723,267.91104393828573
53,2.6500000000000004,92.8169023313813,267.9110442222215
54,2.7,92.81613076749868,267.91104436007885
55,2.75,92.81451094276952,267.9110445050461
56,2.8000000000000003,92.81270009249047,267.91104462572895
57,2.85,92.81006503425508,267.91104405729766
58,2.9000000000000004,92.80885595754324,267.9110439504306
59,2.95,92.80916915062096,267.9110436020425
