P=900,I=10000.0,D=30.0
Ts=0.05
Iteration,time(s),piezo_output,measured_wavelength(nm)
2,0.1,-219.00134647296397,267.8260916280938
3,0.15000000000000002,-26.424683065925517,267.82567096618675
4,0.2,109.01211801649724,267.8722817600745
5,0.25,66.94798351664795,267.85875088037204
6,0.30000000000000004,128.9052170948843,267.88437720772095
7,0.35000000000000003,71.91461695345588,267.8652738771114
8,0.4,119.38020329809996,267.8809204746671
9,0.45,82.23420180016771,267.869013571767
10,0.5,110.2057344646795,267.8777366046643
11,0.55,89.62363935754107,267.87149684244207
12,0.6000000000000001,104.03702218486087,267.87575134666963
13,0.65,94.08275213434837,267.87288395341216
14,0.7000000000000001,100.69725692185804,267.87474905273865
15,0.75,96.521437584633,267.8735893125752
16,0.8,99.19905853626524,267.87432599564266
17,0.8500000000000001,97.50779260883205,267.87386112765734
18,0.9,98.57625247502854,267.87415317020725
19,0.9500000000000001,97.91901547068882,267.87397188637686
20,1.0,98.34027174411437,267.8740828743165
21,1.05,98.09595889913558,267.87401840894466
22,1.1,98.25138664249344,267.8740594605429
23,1.1500000000000001,98.15906499226385,267.8740351875251
24,1.2000000000000002,98.21314911133588,267.874049042712
25,1.25,98.18389557471828,267.87404129552317
26,1.3,98.20087031514764,267.87404507984644
27,1.35,98.19137798204495,267.8740427569439
28,1.4000000000000001,98.19793108527377,267.8740442218783
29,1.4500000000000002,98.19446017772836,267.87404297396773
30,1.5,98.19609069810461,267.8740441840353
31,1.55,98.1957451991766,267.8740431218513
32,1.6,98.19760716384921,267.8740436024428
33,1.6500000000000001,98.19733434725829,267.87404310977615
34,1.7000000000000002,98.1989228711972,267.8740437941172
35,1.75,98.19931270432288,267.8740441032836
36,1.8,98.19861848674498,267.87404349944507
37,1.85,98.1989198016861,267.8740435606828
38,1.9000000000000001,98.2009338934103,267.87404331225025
39,1.9500000000000002,98.20158299356464,267.87404396539824
40,2.0,98.20139245015008,267.8740438959662
41,2.0500000000000003,98.20291411070859,267.8740433794509
42,2.1,98.20459954833127,267.8740432711113
43,2.15,98.20459453750746,267.87404339223826
44,2.2,98.20670000245393,267.87404387489426
45,2.25,98.20815255988724,267.87404397794046
46,2.3000000000000003,98.2091281786064,267.8740439505977
47,2.35,98.20905511616438,267.87404374646815
48,2.4000000000000004,98.20923422432301,267.87404359120006
49,2.45,98.21119213245969,267.8740437824285
50,2.5,98.2118958016324,267.87404377267313
51,2.5500000000000003,98.2130303848882,267.87404342205235
52,2.6,98.21556827391123,267.8740436769537
53,2.6500000000000004,98.21401908309076,267.87404317657325
54,2.7,98.21822908077493,267.87404408058006
55,2.75,98.21741036317498,267.87404372033745
56,2.8000000000000003,98.21723795690833,267.8740437093124
57,2.85,98.21909088490595,267.8740441062323
58,2.9000000000000004,98.21789360816793,267.8740436349794
59,2.95,98.21811987341204,267.8740434291378
60,3.0,98.22032630356512,267.8740436481175
61,3.0500000000000003,98.2186173520835,267.8740436869629
62,3.1,98.21929754864205,267.8740431609441
