P=900,I=10000.0,D=30.0
Ts=0.05
Iteration,time(s),piezo_output,measured_wavelength(nm)
2,0.1,217.95010277172835,267.7042797606417
3,0.15000000000000002,149.75811996883866,267.7043878797742
4,0.2,107.65981177776135,267.6942362808686
5,0.25,103.25780260264483,267.69267761446525
6,0.30000000000000004,93.57427497435263,267.6891451727956
7,0.35000000000000003,96.84549474723897,267.6899725532127
8,0.4,92.90027074088603,267.6888279537973
9,0.45,94.86396378959249,267.6893244968104
10,0.5,93.4222510321159,267.6889212401853
11,0.55,94.27736010654864,267.68913944007295
12,0.6000000000000001,93.74113903133816,267.68899022812565
13,0.65,94.0814874064089,267.6890737161787
14,0.7000000000000001,93.89765546723994,267.68902261159894
15,0.75,94.03026970801645,267.6890524967766
16,0.8,93.97269998765829,267.6890345730137
17,0.8500000000000001,94.02103966195882,267.6890440829573
18,0.9,94.00978924572206,267.6890384374206
19,0.9500000000000001,94.03373349900556,267.68904230204555
20,1.0,94.03604326560459,267.6890404850823
21,1.05,94.05005305463604,267.6890416705419
22,1.1,94.0568024349569,267.68904155188454
23,1.1500000000000001,94.06631062634796,267.68904213130367
24,1.2000000000000002,94.07173578322569,267.6890418494141
25,1.25,94.07918001423694,267.6890419295059
26,1.3,94.08615933307662,267.6890419615788
27,1.35,94.09268945266066,267.6890419213067
28,1.4000000000000001,94.09927723406982,267.68904253805243
29,1.4500000000000002,94.10306809864267,267.68904225360825
30,1.5,94.10945075706682,267.6890424705349
31,1.55,94.11273471419767,267.68904245124503
32,1.6,94.11735605329305,267.68904272798983
33,1.6500000000000001,94.12037122149141,267.6890423440429
34,1.7000000000000002,94.12645917721447,267.6890429510066
35,1.75,94.12739923596293,267.68904268305937
36,1.8,94.1324405793121,267.68904325730455
37,1.85,94.13482359158007,267.6890426112697
38,1.9000000000000001,94.14026555580304,267.6890432424693
39,1.9500000000000002,94.14110801530464,267.68904252186417
40,2.0,94.14654035412391,267.6890430564973
41,2.0500000000000003,94.14846477381562,267.6890428895484
42,2.1,94.15154950321525,267.6890431980773
43,2.15,94.15349211896618,267.68904275931175
44,2.2,94.1568142602297,267.6890427774436
45,2.25,94.16044678517049,267.6890432559601
46,2.3000000000000003,94.16275942277322,267.6890430048574
47,2.35,94.16482216077995,267.6890431109614
48,2.4000000000000004,94.16813017436615,267.6890433171992
49,2.45,94.16994840548604,267.68904310605024
50,2.5,94.17256007293655,267.6890431885855
51,2.5500000000000003,94.17450534677194,267.68904309548793
52,2.6,94.1767619257861,267.68904295741925
53,2.6500000000000004,94.17997907709311,267.6890432706767
54,2.7,94.18233218431838,267.6890432864485
55,2.75,94.18395380984025,267.6890434487741
56,2.8000000000000003,94.18470022496889,267.6890429392397
57,2.85,94.18950564337024,267.6890436164622
58,2.9000000000000004,94.19013196519805,267.6890428454252
59,2.95,94.19364880567241,267.6890433044077
60,3.0,94.19575919987219,267.6890435866122
61,3.0500000000000003,94.19808649627674,267.68904358556614
62,3.1,94.19828964651789,267.68904305839936
63,3.1500000000000004,94.20049800035306,267.689043230707
64,3.2,94.20210886729251,267.68904297884757
65,3.25,94.20474830244969,267.68904288477336
66,3.3000000000000003,94.2066659416099,267.6890429287027
67,3.35,94.21059037859543,267.68904316516205
68,3.4000000000000004,94.21289755964153,267.68904340114466
69,3.45,94.21343145927078,267.68904357892825
70,3.5,94.2141377369549,267.6890436597493
71,3.5500000000000003,94.21512959918437,267.6890435509265
72,3.6,94.21500262598737,267.6890434275238
73,3.6500000000000004,94.21738796117248,267.6890434874942
74,3.7,94.21872715932078,267.6890430102048
75,3.75,94.22030509660831,267.6890431719942
76,3.8000000000000003,94.22215766576828,267.6890431822277
77,3.85,94.22427229466689,267.6890433461047
78,3.9000000000000004,94.2264120722344,267.6890440196407
79,3.95,94.22520827421594,267.68904379349357
80,4.0,94.22776312278657,267.68904385988446
