dir,position, wavelength(nm), frequency (THz)
down,122000,1122.781377,267.0087555
down,121750,1122.781318,267.0087695
down,121500,1122.781167,267.0088054
down,121250,1122.781,267.0088449
down,121000,1122.780767,267.0089005
down,120750,1122.780429,267.0089809
down,120500,1122.779911,267.0091039
down,120250,1122.779175,267.0092784
down,120000,1122.777877,267.0095876
down,119750,1122.774245,267.0104515
down,119500,1122.775462,267.0101621
down,119250,1122.702952,267.0274069
down,119000,1122.690489,267.0303712
down,118750,1122.657376,267.0382473
down,118500,1122.638905,267.042641
down,118250,1122.580802,267.0564626
down,118000,1122.557581,267.0619872
down,117750,1122.453222,267.0868168
down,117500,1122.3771,267.1049311
down,117250,1122.334948,267.114963
down,117000,1122.252903,267.1344912
down,116750,1122.150549,267.1588563
down,116500,1122.075118,267.1768168
down,116250,1122.010228,267.1922683
down,116000,1121.870806,267.2254744
down,115750,1121.755362,267.2529753
down,115500,1121.680135,267.270899
down,115250,1121.597998,267.2904719
down,115000,1121.482903,267.3179032
down,114750,1121.374037,267.3438551
down,114500,1121.278785,267.3665657
down,114250,1121.183648,267.3892529
down,114000,1121.075032,267.4151591
down,113750,1120.966369,267.4410814
down,113500,1120.844402,267.4701835
down,113250,1120.74248,267.4945077
down,113000,1120.647386,267.5172064
down,112750,1120.525529,267.5462988
down,112500,1120.417008,267.5722127
down,112250,1120.328745,267.5932928
down,112000,1120.206976,267.6223808
down,111750,1120.111948,267.6450854
down,111500,1119.976843,267.6773721
down,111250,1119.875223,267.7016618
down,111000,1119.773582,267.7259607
down,110750,1119.665347,267.751841
down,110500,1119.550479,267.7793129
down,110250,1119.44225,267.805202
down,110000,1119.327403,267.8326799
down,109750,1119.219262,267.8585583
down,109500,1119.104425,267.8860446
down,109250,1118.989593,267.9135355
down,109000,1118.874706,267.941045
down,108750,1118.766615,267.9669326
down,108500,1118.658527,267.9928243
down,108250,1118.550345,268.0187435
down,108000,1118.435521,268.0462597
down,107750,1118.327405,268.0721733
down,107500,1118.212618,268.0996915
down,107250,1118.097807,268.1272212
down,107000,1117.976353,268.1563497
down,106750,1117.868287,268.1838677
down,106500,1117.753525,268.2098076
down,106250,1117.645464,268.2357399
down,106000,1117.524064,268.2648793
down,105750,1117.402806,268.2939908
down,105500,1117.294766,268.3199341
down,105250,1117.186804,268.3458639
down,105000,1117.052328,268.3781729
down,104750,1116.944298,268.404126
down,104500,1116.842978,268.4284755
down,104250,1116.728479,268.4559977
down,104000,1116.613893,268.4835464
down,103750,1116.492703,268.512689
down,103500,1116.384823,268.5386364
down,103250,1116.270384,268.5661663
down,103000,1116.155961,268.5936989
down,102750,1116.041585,268.6212252
down,102500,1115.920569,268.6503559
down,102250,1115.799678,268.6794627
down,102000,1115.732312,268.695685
up,102000,1115.738644,268.6941602
up,102250,1115.738743,268.6941364
up,102500,1115.739595,268.6939314
up,102750,1115.740472,268.6937201
up,103000,1115.741874,268.6933825
up,103250,1115.745247,268.6925701
up,103500,1115.749899,268.6914499
up,103750,1115.754393,268.6903676
up,104000,1115.757891,268.6895253
up,104250,1115.762097,268.6885124
up,104500,1115.766995,268.6873328
up,104750,1115.770991,268.6863707
up,105000,1115.804339,268.6783403
up,105250,1115.845824,268.6683516
up,105500,1115.904838,268.6541431
up,105750,1115.994768,268.6324943
up,106000,1116.084777,268.6108299
up,106250,1116.174842,268.5891555
up,106500,1116.26484,268.5675007
up,106750,1116.363813,268.5436903
up,107000,1116.462714,268.5199015
up,107250,1116.543829,268.500394
up,107500,1116.624806,268.4809226
up,107750,1116.714676,268.459316
up,108000,1116.804639,268.4376906
up,108250,1116.90346,268.4139399
up,108500,1117.002308,268.3901867
up,108750,1117.101234,268.3664192
up,109000,1117.191243,268.3447975
up,109250,1117.294616,268.3199702
up,109500,1117.406931,268.2930003
up,109750,1117.497065,268.2713606
up,110000,1117.609474,268.2443778
up,110250,1117.71295,268.2195442
up,110500,1117.816492,268.194699
up,110750,1117.929018,268.167704
up,111000,1118.03713,268.1417728
up,111250,1118.145285,268.1158363
up,111500,1118.253418,268.0899098
up,111750,1118.361557,268.0639871
up,112000,1118.47873,268.0359045
up,112250,1118.58247,268.0110458
up,112500,1118.686313,267.9861679
up,112750,1118.79907,267.9591592
up,113000,1118.902769,267.9343248
up,113250,1119.033404,267.9030464
up,113500,1119.132829,267.8792457
up,113750,1119.241211,267.8533054
up,114000,1119.349667,267.8273519
up,114250,1119.462461,267.8003672
up,114500,1119.566471,267.7754881
up,114750,1119.670467,267.7506167
up,115000,1119.774393,267.7257669
up,115250,1119.891883,267.6976792
up,115500,1120.004925,267.6706606
up,115750,1120.118018,267.643635
up,116000,1120.217222,267.6199331
up,116250,1120.326139,267.5939153
up,116500,1120.434687,267.5679908
up,116750,1120.53894,267.5430967
up,117000,1120.65661,267.5150045
up,117250,1120.774242,267.4869272
up,117500,1120.882997,267.460974
up,117750,1120.982821,267.4371565
up,118000,1121.096067,267.4101416
up,118250,1121.209301,267.3831351
up,118500,1121.31358,267.3582694
up,118750,1121.408853,267.335555
up,119000,1121.522096,267.3085614
up,119250,1121.622149,267.2847165
up,119500,1121.721843,267.2609613
up,119750,1121.839727,267.2328773
up,120000,1121.935215,267.2101329
up,120250,1122.039765,267.1852349
up,120500,1122.148785,267.1592768
up,120750,1122.262426,267.1322243
up,121000,1122.353273,267.1106016
up,121250,1122.476061,267.0813824
up,121500,1122.58948,267.0543982
up,121750,1122.690326,267.0304099
up,122000,1122.781378,267.008755
