P=900,I=10000.0,D=30.0
Ts=0.05
Iteration,time(s),piezo_output,measured_wavelength(nm)
2,0.1,210.2445644000817,267.8240231147953
3,0.15000000000000002,118.86527485518442,267.8177467914034
4,0.2,74.83059383484927,267.7986545810996
5,0.25,97.54251826410768,267.80556494140353
6,0.30000000000000004,71.32230214537314,267.7972582876334
7,0.35000000000000003,88.51918610106398,267.8023415159575
8,0.4,75.58383881332435,267.79853689153003
9,0.45,84.20767659756233,267.80100462412526
10,0.5,78.53517368107133,267.7993915945902
11,0.55,82.2798261015853,267.800436701771
12,0.6000000000000001,79.91716177290492,267.79978314073185
13,0.65,81.45709575824495,267.8002048864418
14,0.7000000000000001,80.50853386570175,267.7999445127451
15,0.75,81.09909990484178,267.8001051336171
16,0.8,80.73359048865014,267.8000056972776
17,0.8500000000000001,80.96470029150852,267.8000683713032
18,0.9,80.82200507741452,267.80002968839824
19,0.9500000000000001,80.91102937398169,267.8000531567114
20,1.0,80.85644136836616,267.80003858391564
21,1.05,80.89026024018494,267.80004714555866
22,1.1,80.872025892922,267.8000415798612
23,1.1500000000000001,80.88387139140781,267.80004462990604
24,1.2000000000000002,80.87905298394595,267.80004337141713
25,1.25,80.88397681414676,267.80004374443354
26,1.3,80.88296000550875,267.8000435242218
27,1.35,80.8842060428687,267.8000434775615
28,1.4000000000000001,80.88576759668403,267.800043417449
29,1.4500000000000002,80.88844516507912,267.80004334770524
30,1.5,80.8888495327648,267.8000436185252
31,1.55,80.89163487026336,267.80004419952644
32,1.6,80.88938602079142,267.8000433456323
33,1.6500000000000001,80.89230137915291,267.80004398576415
34,1.7000000000000002,80.8919757792178,267.8000430310459
35,1.75,80.8932747205653,267.80004341023505
36,1.8,80.89279191010334,267.800043322157
37,1.85,80.8953749789925,267.80004344887396
38,1.9000000000000001,80.89488793767383,267.8000437274895
39,1.9500000000000002,80.89472435541299,267.8000440802825
40,2.0,80.89451935474344,267.80004356831654
41,2.0500000000000003,80.89601042102477,267.80004387988816
42,2.1,80.89610367636398,267.80004327827686
43,2.15,80.89641595569016,267.8000438925279
44,2.2,80.89768483149332,267.8000441181688
45,2.25,80.89575060882898,267.80004375302656
46,2.3000000000000003,80.89685035528338,267.8000441802039
47,2.35,80.89681757501452,267.800043648377
48,2.4000000000000004,80.8986297915459,267.80004373898015
49,2.45,80.8993332570215,267.80004290139294
50,2.5,80.90424903469551,267.8000433376524
51,2.5500000000000003,80.9035235522637,267.8000428883998
52,2.6,80.90552135853416,267.8000438994405
53,2.6500000000000004,80.9051727154731,267.80004390035145
54,2.7,80.90467707975671,267.80004411686735
55,2.75,80.90445164907412,267.8000439696051
56,2.8000000000000003,80.90479919176347,267.8000438220205
57,2.85,80.90614002233986,267.80004381328166
58,2.9000000000000004,80.90528945561412,267.8000434356409
