P=900,I=10000.0,D=30.0
Ts=0.05
Iteration,time(s),piezo_output,measured_wavelength(nm)
2,0.1,-213.45490524242305,267.631781125204
3,0.15000000000000002,13.719738208017372,267.6358741404517
4,0.2,154.97530410542356,267.70430624267084
5,0.25,40.94387451277581,267.6617612730384
6,0.30000000000000004,167.47042839781918,267.70455715613843
7,0.35000000000000003,76.2229067339,267.67963969557275
8,0.4,133.62505007952754,267.6989601117695
9,0.45,83.71368781846468,267.68243713438795
10,0.5,121.51322525479861,267.69458972616684
11,0.55,91.54143968357617,267.68520071843176
12,0.6000000000000001,113.09429055213934,267.6917496016025
13,0.65,97.70159036737527,267.68718869797107
14,0.7000000000000001,108.21562828007697,267.6902241931751
15,0.75,101.25521610703926,267.68825622771135
16,0.8,105.79451572481702,267.68951867135195
17,0.8500000000000001,102.96553650483924,267.68873984249547
18,0.9,104.74847249489773,267.6892293972068
19,0.9500000000000001,103.64869334423615,267.6889290187555
20,1.0,104.34074294714496,267.689116662392
21,1.05,103.88466026545647,267.6889933319586
22,1.1,104.17055983788107,267.68906974468746
23,1.1500000000000001,104.00274093579601,267.68902388699894
24,1.2000000000000002,104.11713411586193,267.68905465265755
25,1.25,104.04936810081195,267.6890361027091
26,1.3,104.09413209834932,267.6890484592505
27,1.35,104.065113458323,267.68904031719006
28,1.4000000000000001,104.08330535751601,267.68904562628524
29,1.4500000000000002,104.07303134962622,267.6890429588285
30,1.5,104.07926477354307,267.6890446939659
31,1.55,104.07414784069158,267.6890431589713
32,1.6,104.07682166027611,267.6890441612145
33,1.6500000000000001,104.07446826297709,267.68904321603947
34,1.7000000000000002,104.07632871151733,267.6890445112414
35,1.75,104.07425373447006,267.68904394348726
36,1.8,104.07093569551763,267.689043403339
37,1.85,104.07214694161654,267.68904407438737
38,1.9000000000000001,104.07252010993625,267.68904384858087
39,1.9500000000000002,104.07103125246927,267.68904349473524
40,2.0,104.07088884455656,267.6890438327568
41,2.0500000000000003,104.07104829056021,267.6890436449141
42,2.1,104.07129327614462,267.6890440533621
43,2.15,104.06907965742278,267.68904437371583
44,2.2,104.06804622381627,267.6890439487957
45,2.25,104.06788927751153,267.6890438098556
46,2.3000000000000003,104.06782905943906,267.68904353256653
47,2.35,104.06992902932475,267.689044047974
48,2.4000000000000004,104.06915979488912,267.6890439786811
49,2.45,104.06840812000887,267.6890443298798
50,2.5,104.06761011707403,267.68904415354086
51,2.5500000000000003,104.06715708121001,267.6890441700306
52,2.6,104.06590993149335,267.6890434339569
53,2.6500000000000004,104.06676650887205,267.68904402240423
54,2.7,104.06587312313201,267.68904347915645
55,2.75,104.06691687421912,267.6890442897062
56,2.8000000000000003,104.06687608207167,267.6890443427681
57,2.85,104.06579368512543,267.6890439241287
58,2.9000000000000004,104.06364130800607,267.68904391633066
59,2.95,104.06363254815517,267.68904455971654
60,3.0,104.06148068080509,267.6890437006363
61,3.0500000000000003,104.06128168664809,267.6890434737388
62,3.1,104.06262326296665,267.6890441387906
63,3.1500000000000004,104.05957315477892,267.6890432310853
64,3.2,104.06162439678253,267.6890438958515
